ID,X,Y,Z
171,-0.1467,-0.6592,0.9656
172,-0.0475,-0.7364,0.8556
173,-0.0273,-0.7264,0.8424
174,-0.1981,-0.6345,0.8066
175,0.0206,-0.7477,0.9979
176,0.0477,-0.6767,0.7976
177,0.2391,-0.6534,1.0396
178,0.1304,-0.3729,0.9991
179,0.2753,-0.6841,1.0753
180,0.4313,-0.7714,0.9052
181,0.5682,-0.4011,0.8397
182,0.5088,-0.5423,0.6166
183,0.3457,-0.817,0.8953
184,0.3776,-0.7735,0.8839
185,0.3597,-0.8204,0.8191
186,0.4141,-0.5257,0.4805
187,0.336,-0.8148,0.7066
188,0.4996,-0.6002,0.4346
189,0.5733,-0.6852,0.6538
190,1.2333,-0.4214,0.3067
191,0.3357,-0.4654,0.4756
192,0.4179,-0.6066,0.5758
193,0.3272,-0.2271,0.4747
194,0.5929,-0.5018,0.9441
195,0.4947,-0.6321,0.5331
196,0.476,-0.5758,0.7171
197,0.5538,-0.4297,0.4252
198,0.468,-0.3253,0.1856
199,0.5834,-0.2275,0.8243
200,0.5072,-0.1976,0.3982
201,0.366,-0.2035,0.7277
202,0.5246,-0.2154,0.3213
203,0.5031,-0.2147,0.5717
204,0.4369,-0.214,0.6269
205,0.3998,-0.1008,0.9802
206,0.4276,-0.8491,1.0811
207,-0.0902,-0.3737,0.8423
208,0.4166,-0.206,0.8551
209,-0.1475,-0.5263,0.7554
210,0.33,-0.2038,0.6583
211,0.3229,-0.1409,1.0093
212,-0.0643,-0.5025,0.6754
213,0.0505,-0.6352,0.8445
214,0.3597,-0.7464,0.8021
215,0.224,-0.2732,1.0302
216,0.0917,-0.8779,1.1387
217,0.0547,-0.2833,1.0684
218,0.0513,-0.131,1.1213
219,-0.0331,-0.3646,0.8333
220,-0.3041,-0.3265,0.8818
221,-0.0052,-0.3671,0.7867
222,-0.135,-0.3547,0.868
223,-0.0306,-0.4442,0.9697
224,-0.1326,-0.5365,1.024
225,-0.0679,-0.5297,0.8653
226,-0.062,-0.5389,0.683
227,-0.0681,-0.4476,0.7379
228,-0.0772,-0.4849,0.8158
229,-0.0406,-0.4964,0.8271
230,-0.0904,-0.6179,0.6312
231,0.0368,-0.6256,1.0705
232,0.0922,-0.6803,0.7187
233,-0.0213,-0.632,1.0473
234,0.1336,-0.5274,0.8042
235,-0.0085,-0.7721,0.9526
236,0.1569,-0.4221,0.7697
237,0.2181,-0.482,0.7837
238,0.2603,-0.5141,0.6081
239,0.2756,-0.8299,1.0197
240,0.3898,-0.821,1.0068
241,0.5211,-0.8881,0.9004
242,0.4426,-0.6809,0.571
243,0.4474,-0.5638,0.46
244,0.4878,-0.6431,0.5048
245,0.443,-0.3472,1.0541
246,0.4842,-0.9498,0.5071
247,0.543,-0.7389,0.7417
248,0.5297,-0.5587,0.759
249,0.3198,-0.2911,0.6612
250,0.5898,-0.2384,0.7921
251,0.4859,-0.5636,1.1443
252,0.513,-0.4922,0.8321
253,0.4149,-0.4209,0.5701
254,0.4669,-0.3026,0.4407
255,0.566,-0.4576,0.7503
256,0.4896,-0.3813,0.8651
257,0.5294,-0.2906,0.8335
258,0.4328,-0.2807,0.7487
259,0.4545,-0.2412,0.7303
260,0.3983,-0.3462,0.8655
261,0.4043,-0.1524,1.0177
262,0.4387,-0.2054,0.8098
263,0.5605,-0.0682,1.0121
264,0.3739,-0.2246,0.8964
265,0.0066,-0.2309,0.7718
266,0.1846,-0.7884,0.8392
267,0.2953,-0.4046,1.038
268,-0.0331,-0.5165,1.0056
269,0.2537,-0.4617,1.1586
270,0.0248,-0.1776,1.1079
271,0.2806,-0.4675,1.2116
272,0.3085,-0.4759,1.251
273,-0.1907,0.0169,1.0727
274,-0.0074,-0.2284,0.9661
275,0.0473,-0.3488,0.8691
276,-0.0096,-0.3995,1.1586
277,-0.0179,-0.4629,1.2222
278,-0.0238,-0.5566,0.6571
279,-0.1292,-0.443,1.1441
280,0.1328,-0.506,0.5455
281,-0.1081,-0.7278,0.8279
282,-0.2677,-0.7621,0.8089
283,0.0298,-0.702,0.8426
284,0.2378,-0.6317,1.1913
285,0.0424,-0.7663,1.1638
286,-0.1646,-0.7868,1.1466
287,0.0463,-0.7415,0.9524
288,0.1484,-0.5156,0.971
289,0.2574,-0.4809,0.7696
290,0.1629,-0.3345,0.7441
291,0.4425,-0.5958,0.9586
292,0.3769,-0.8027,1.167
293,0.3832,-0.706,0.8683
294,0.4694,-0.7218,0.9323
295,0.4617,-0.6723,0.7433
296,0.515,-0.8051,1.0045
297,0.5022,-0.6438,0.6834
298,0.54,-0.934,0.7788
299,0.3072,-0.4907,0.4493
300,0.5807,-0.6782,0.6838
301,0.6267,-0.6318,1.1456
302,0.5235,-0.6387,0.915
303,0.5239,-0.716,0.7045
304,0.5206,-0.5896,0.9017
305,0.5947,-0.4628,1.2461
306,0.5285,-0.4583,0.8824
307,0.4683,-0.431,0.9302
308,0.5506,-0.5991,0.2403
309,0.6294,-0.3439,1.275
310,0.3558,-0.4162,0.9222
311,0.0099,-0.5967,0.8441
312,0.3316,-0.1711,1.1128
313,0.0804,-0.4439,1.0597
314,0.3631,-0.476,1.0041
315,0.2606,-0.4072,1.2508
316,0.3536,-0.5308,1.3376
317,0.0573,-0.2493,1.2832
318,0.0563,-0.485,1.0165
319,0.1498,-0.3682,0.8981
